dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1998
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1998
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1998
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1998
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1999
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1999
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1999
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1999
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1999
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1999
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2000
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2000
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2000
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2000
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2000
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2000
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2001
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2001
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2001
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2001
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2001
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2001
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2002
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2002
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2002
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2002
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2002
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2002
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2003
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2003
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2003
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2003
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2003
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2003
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2004
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2004
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2004
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2004
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2004
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2004
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2005
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2005
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2005
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2005
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2005
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2005
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2006
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2006
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2006
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2006
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2006
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2006
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2007
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2007
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2007
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2007
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2007
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2007
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2008
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2008
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2008
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2008
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2008
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2008
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2009
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2009
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2009
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2009
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2009
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2009
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2010
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2010
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2010
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2010
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2010
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2010
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2011
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2011
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2011
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2011
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2011
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2011
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2012
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2012
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2012
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2012
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2012
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2012
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2013
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2013
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2013
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2013
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2013
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2013
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2014
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2014
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2014
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2014
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2014
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2014
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2015
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2015
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2015
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2015
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2015
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2015
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2016
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2016
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2016
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2016
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2016
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2016
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2017
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2017
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2017
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2017
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2017
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2017
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2018
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2018
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2018
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2018
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2018
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2018
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2019
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2019
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2019
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2019
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2019
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2019
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2020
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2020
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2020
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2020
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2020
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2020
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2021
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2021
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2021
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2021
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2021
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2021
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2022
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2022
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2022
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2022
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2022
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2022
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2023
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2023
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2023
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2023
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2023
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2023
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2024
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2024
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2024
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2024
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2024
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2024
