dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1995
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1995
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1995
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1996
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1996
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1996
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1996
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1996
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1996
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1997
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1997
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1997
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1997
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1997
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1997
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1998
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1998
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1998
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1998
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1998
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1998
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1999
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1999
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1999
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1999
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1999
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1999
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2000
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2000
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2000
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2000
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2000
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2000
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2001
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2001
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2001
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2001
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2001
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2001
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2002
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2002
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2002
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2002
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2002
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2002
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2003
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2003
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2003
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2003
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2003
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2003
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2004
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2004
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2004
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2004
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2004
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2004
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2005
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2005
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2005
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2005
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2005
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2005
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2006
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2006
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2006
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2006
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2006
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2006
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2007
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2007
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2007
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2007
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2007
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2007
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2008
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2008
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2008
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2008
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2008
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2008
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2009
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2009
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2009
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2009
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2009
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2009
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2010
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2010
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2010
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2010
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2010
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2010
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2011
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2011
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2011
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2011
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2011
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2011
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2012
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2012
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2012
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2012
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2012
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2012
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2013
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2013
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2013
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2013
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2013
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2013
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2014
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2014
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2014
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2014
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2014
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2014
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2015
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2015
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2015
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2015
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2015
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2015
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2016
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2016
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2016
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2016
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2016
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2016
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2017
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2017
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2017
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2017
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2017
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2017
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2018
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2018
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2018
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2018
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2018
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2018
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2019
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2019
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2019
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2019
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2019
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2019
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2020
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2020
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2020
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2020
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2020
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2020
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2021
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2021
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2021
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2021
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2021
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2021
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2022
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2022
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2022
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2022
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2022
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2022
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2023
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2023
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2023
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2023
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2023
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2023
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2024
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2024
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2024
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2024
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2024
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2024
